GBAC,isolate,country,host,collection_date,taxon,uclust17nt,mmseq17nt,uclust7aa,mmseq7aa
MK671312/NA/MAV2-18JL0705/cat/NA/MAstV2,,MAV2-18JL0705,cat,,MAstV2,8,25,4,9
MK671313/NA/MAV2-18SY0803/cat/NA/MAstV2,,MAV2-18SY0803,cat,,MAstV2,8,25,4,9
MW037839/NA/NA/cat/NA/NA,,,cat,,,53,48,31,50
MW037840/NA/NA/cat/NA/NA,,,cat,,,0,51,32,53
MW037841/NA/NA/cat/NA/MAstV2,,,cat,,MAstV2,8,25,4,9
MW164633/NA/BC-SPCA/cat/NA/MAstV2,,BC-SPCA,cat,,MAstV2,8,25,4,9
ON595824/NA/FPV-1/cat/NA/MAstV2,,FPV-1,cat,,MAstV2,8,25,4,9
ON595825/NA/FPV-2/cat/NA/MAstV2,,FPV-2,cat,,MAstV2,8,25,4,9
ON595826/NA/FPV-3/cat/NA/MAstV2,,FPV-3,cat,,MAstV2,8,25,4,9
ON595827/NA/FPV-4/cat/NA/MAstV2,,FPV-4,cat,,MAstV2,8,25,4,9
ON595829/NA/FPV-6/cat/NA/MAstV2,,FPV-6,cat,,MAstV2,8,25,4,9
ON595830/NA/FPV-8/cat/NA/MAstV2,,FPV-8,cat,,MAstV2,8,25,4,9
ON595831/NA/FPV-10/cat/NA/MAstV2,,FPV-10,cat,,MAstV2,8,25,4,9
NC_023629/NA/NA/cow/NA/NA,,,cow,,,33,10,54,18
NC_023630/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
NC_023631/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
NC_023632/NA/NA/cow/NA/NA,,,cow,,,33,10,54,18
NC_024297/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
KJ620980/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
KP264970/NA/BSRI-1/cow/NA/NA,,BSRI-1,cow,,,15,33,21,8
KT956903/NA/CH15/cow/NA/NA,,CH15,cow,,,46,53,6,32
LC047787/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
LC047788/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
LC047789/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
LC047790/NA/NA/cow/NA/NA,,,cow,,,15,33,21,8
LC047791/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
LC047792/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
LC047793/NA/NA/cow/NA/NA,,,cow,,,18,42,22,44
LC047794/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
LC047795/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
LC047796/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
LC047797/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
LC047798/NA/NA/cow/NA/NA,,,cow,,,15,33,21,8
LC047799/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
LC047800/NA/NA/cow/NA/NA,,,cow,,,15,33,21,8
LC047801/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
LC341267/NA/NA/cow/NA/NA,,,cow,,,29,8,23,15
MK386569/NA/NA/bull/NA/NA,,,cow,,,29,8,23,15
MK987099/NA/BoAstV-VC34-338/cow/NA/NA,,BoAstV-VC34-338,cow,,,6,2,9,55
MK987100/NA/BoAstV-VC34-346/cow/NA/NA,,BoAstV-VC34-346,cow,,,29,8,23,15
MK987101/NA/BoAstV-VC34-375/cow/NA/NA,,BoAstV-VC34-375,cow,,,15,33,21,8
MK987102/NA/BoAstV-VC65-693/cow/NA/NA,,BoAstV-VC65-693,cow,,,15,33,21,8
MK987103/NA/BoAstV-VC65-698/cow/NA/NA,,BoAstV-VC65-698,cow,,,29,8,23,15
MT758371/NA/Egy-1/cow/NA/NA,,Egy-1,cow,,,12,5,40,17
MW373712/NA/BoAstv-CHN-Hebei-1-2019/cow/NA/NA,,BoAstv-CHN-Hebei-1-2019,cow,,,7,47,0,17
MW373713/NA/BoAstv-CHN-Hunan-1-2019/cow/NA/NA,,BoAstv-CHN-Hunan-1-2019,cow,,,7,47,0,17
MW373714/NA/BoAstv-CHN-HLJ-2-2019/cow/NA/NA,,BoAstv-CHN-HLJ-2-2019,cow,,,7,47,0,17
MW373715/NA/BoAstv-CHN-HLJ-1-2019/cow/NA/NA,,BoAstv-CHN-HLJ-1-2019,cow,,,7,47,0,17
MW373716/NA/BoAstv-CHN-SD-1-2019/cow/NA/NA,,BoAstv-CHN-SD-1-2019,cow,,,12,5,8,13
MW373717/NA/BoAstv-CHN-Hubei-1-2019/cow/NA/NA,,BoAstv-CHN-Hubei-1-2019,cow,,,12,5,8,13
MW373718/NA/BoAstv-CHN-Henan-2-2019/cow/NA/NA,,BoAstv-CHN-Henan-2-2019,cow,,,15,33,21,8
MW373719/NA/BoAstv-CHN-Henan-1-2019/cow/NA/NA,,BoAstv-CHN-Henan-1-2019,cow,,,15,33,21,8
MW373720/NA/BoAstv-CHN-JL-1-2019/cow/NA/NA,,BoAstv-CHN-JL-1-2019,cow,,,12,5,8,13
MW810338/NA/NA/calf/NA/NA,,,cow,,,7,47,0,17
MZ475060/NA/NA/cow/NA/NA,,,cow,,,29,8,23,15
MZ603733/NA/BoAstV-CN-HB-SJZ-2021/cow/NA/NA,,BoAstV-CN-HB-SJZ-2021,cow,,,7,47,0,17
ON191568/NA/NA/cow/NA/NA,,,cow,,,15,33,21,8
ON552247/NA/NA/cow/NA/NA,,,cow,,,15,33,21,8
ON624251/NA/NA/cow/NA/NA,,,cow,,,15,33,21,8
ON624252/NA/NA/cow/NA/NA,,,cow,,,18,42,22,44
ON624253/NA/NA/cow/NA/NA,,,cow,,,15,33,21,8
ON624254/NA/NA/cow/NA/NA,,,cow,,,15,33,21,8
ON624255/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624256/NA/NA/cow/NA/NA,,,cow,,,15,33,21,8
ON624257/NA/NA/cow/NA/NA,,,cow,,,15,33,21,8
ON624258/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
ON624259/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
ON624262/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
ON624264/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624265/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624266/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624267/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624268/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624269/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624270/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
ON624272/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624273/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624274/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
ON624275/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624276/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624277/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624278/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624279/NA/NA/cow/NA/NA,,,cow,,,15,33,21,8
ON624280/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624281/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624282/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
ON624283/NA/NA/cow/NA/NA,,,cow,,,12,5,8,13
ON624284/NA/NA/cow/NA/NA,,,cow,,,7,10,0,17
HQ916315/NA/NA/cow/NA/NA,,,cow,,,7,47,0,17
MN464146/NA/NA/cow/NA/NA,,,cow,,,29,8,23,15
OP331312/NA/NA/NA/NA/NA,,,cow,,,15,33,21,8
KY765684/NA/NA/crab-eating-fox/NA/MAstV5,,,crab-eating-fox,,MAstV5,27,3,7,10
MN150124/NA/NA/deer/NA/NA,,,deer,,,7,47,0,17
MN150125/NA/NA/deer/NA/NA,,,deer,,,7,47,0,17
KX599350/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
KX599352/NA/NA/dog/NA/NA,,,dog,,,10,31,51,41
KX756441/NA/DD1/dog/NA/MAstV5,,DD1,dog,,MAstV5,27,3,7,10
MK026166/NA/DF-BC15-CAV-AUS-2017/dog/NA/MAstV5,,DF-BC15-CAV-AUS-2017,dog,,MAstV5,27,3,7,10
MN881999/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MN882000/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MN882001/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MN882002/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MN882003/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MN882004/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MN882005/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MN882006/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MN882007/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MN882008/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MN882009/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MN882010/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MT078247/NA/MN1-USA-ORF-2017/dog/NA/MAstV5,,MN1-USA-ORF-2017,dog,,MAstV5,27,3,7,10
MT078248/NA/MN2-USA-2017/dog/NA/MAstV5,,MN2-USA-2017,dog,,MAstV5,27,3,7,10
ON733251/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
OP093957/NA/PK03/dog/NA/MAstV5,,PK03,dog,,MAstV5,27,3,7,10
OP093958/NA/PK01/dog/NA/MAstV5,,PK01,dog,,MAstV5,27,3,7,10
OQ198033/NA/AstroviridaeDogfe437C1full/dog/NA/NA,,AstroviridaeDogfe437C1full,dog,,,10,31,51,41
OQ198035/NA/AstroviridaeDogfe376C1full/dog/NA/NA,,AstroviridaeDogfe376C1full,dog,,,44,32,34,0
OQ198038/NA/AstroviridaeDogfe360C3full/dog/NA/NA,,AstroviridaeDogfe360C3full,dog,,,44,32,34,0
OQ198039/NA/AstroviridaeDogfe352C7full/dog/NA/NA,,AstroviridaeDogfe352C7full,dog,,,44,32,34,0
OQ198040/NA/AstroviridaeDogfe352C1full/dog/NA/NA,,AstroviridaeDogfe352C1full,dog,,,44,32,34,0
OQ198041/NA/AstroviridaeDogfe351C1full/dog/NA/NA,,AstroviridaeDogfe351C1full,dog,,,44,32,34,0
OQ198042/NA/AstroviridaeDogfe346C1full/dog/NA/NA,,AstroviridaeDogfe346C1full,dog,,,12,5,8,13
OQ198043/NA/AstroviridaeDogfe338C1full/dog/NA/NA,,AstroviridaeDogfe338C1full,dog,,,15,33,21,8
OQ198044/NA/AstroviridaeDogfe337C1full/dog/NA/NA,,AstroviridaeDogfe337C1full,dog,,,51,43,53,45
OQ198045/NA/AstroviridaeDogfe331C1full/dog/NA/NA,,AstroviridaeDogfe331C1full,dog,,,44,32,34,0
OQ198046/NA/AstroviridaeDogfe326C3full/dog/NA/NA,,AstroviridaeDogfe326C3full,dog,,,15,33,21,8
OQ198047/NA/AstroviridaeDogfe326C1full/dog/NA/NA,,AstroviridaeDogfe326C1full,dog,,,31,50,36,52
OQ198048/NA/AstroviridaeDogfe325C1full/dog/NA/NA,,AstroviridaeDogfe325C1full,dog,,,15,33,21,8
OQ198050/NA/AstroviridaeDogfe316C2full/dog/NA/NA,,AstroviridaeDogfe316C2full,dog,,,12,5,8,13
OQ198051/NA/AstroviridaeDogfe316C1full/dog/NA/NA,,AstroviridaeDogfe316C1full,dog,,,7,47,0,17
MF973500/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MF973501/NA/NA/dog/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
MT894143/NA/PVNRTVU2020/dog/NA/MAstV5,,PVNRTVU2020,dog,,MAstV5,27,3,7,10
NC_026814/NA/NA/NA/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
KP404150/NA/NA/NA/NA/MAstV5,,,dog,,MAstV5,27,3,7,10
NC_013060/NA/VA1/human/NA/MAstV9,,VA1,human,,MAstV9,26,13,19,23
NC_013443/NA/NI-295/human/NA/MAstV8,,NI-295,human,,MAstV8,25,15,28,25
NC_024472/NA/NA/human/NA/NA,,,human,,,55,27,5,38
AB740319/NA/IDH1300/human/NA/MAstV1,,IDH1300,human,,MAstV1,5,1,10,7
AB740320/NA/IDH1309/human/NA/MAstV1,,IDH1309,human,,MAstV1,50,1,10,7
AB740321/NA/IDH1371/human/NA/MAstV1,,IDH1371,human,,MAstV1,5,1,10,7
AB740322/NA/IDH1448/human/NA/MAstV1,,IDH1448,human,,MAstV1,50,1,10,7
AB740323/NA/IDH1451/human/NA/MAstV1,,IDH1451,human,,MAstV1,5,1,10,7
AB740324/NA/IDH2211/human/NA/MAstV1,,IDH2211,human,,MAstV1,50,1,10,7
AB740325/NA/IDH2455/human/NA/MAstV1,,IDH2455,human,,MAstV1,5,1,10,7
AB823731/NA/BtnMLB1-40/human/NA/MAstV6,,BtnMLB1-40,human,,MAstV6,14,18,25,19
AB823732/NA/BtnMLB1-86/human/NA/MAstV6,,BtnMLB1-86,human,,MAstV6,14,18,25,19
GQ267696/NA/SZ908/human/NA/MAstV9,,SZ908,human,,MAstV9,26,13,19,23
GQ495608/NA/192-BJ07-CHN/human/NA/MAstV1,,192-BJ07-CHN,human,,MAstV1,50,1,10,7
GQ502193/NA/VA2-human-Stl-WD0680-2009/human/NA/MAstV8,,VA2-human-Stl-WD0680-2009,human,,MAstV8,25,15,28,25
GQ891990/NA/SG/human/NA/MAstV9,,SG,human,,MAstV9,26,13,19,23
GQ901902/NA/Rus-Nsc09-B4/human/NA/MAstV1,,Rus-Nsc09-B4,human,,MAstV1,5,1,10,7
GU223905/NA/Rus-Nsc03-H191/human/NA/MAstV1,,Rus-Nsc03-H191,human,,MAstV1,5,1,10,7
GU732187/NA/Rus-Nsc08-3364/human/NA/MAstV1,,Rus-Nsc08-3364,human,,MAstV1,5,1,10,7
HM450380/NA/MLB1-HK05/human/NA/MAstV6,,MLB1-HK05,human,,MAstV6,14,18,25,19
HM484374/NA/VS34/human/NA/MAstV9,,VS34,human,,MAstV9,26,13,19,23
JF491403/NA/HAstV-1-RUS-Novosibirsk-Nsc10-N52-2010/human/NA/MAstV1,,HAstV-1-RUS-Novosibirsk-Nsc10-N52-2010,human,,MAstV1,5,1,10,7
JF491430/NA/Rus-Nsc04-H355/human/NA/MAstV1,,Rus-Nsc04-H355,human,,MAstV1,5,1,10,7
JN887820/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
JQ086552/NA/SY071/human/NA/MAstV6,,SY071,human,,MAstV6,14,18,25,19
JQ403108/NA/DL030/human/NA/MAstV1,,DL030,human,,MAstV1,5,1,10,7
KC285152/NA/HAstV-2-RUS-Novosibirsk-Nsc11-N2411-2011/human/NA/MAstV1,,HAstV-2-RUS-Novosibirsk-Nsc11-N2411-2011,human,,MAstV1,5,1,10,7
KF039910/NA/Rus-Nsc05-430/NA/NA/MAstV1,,Rus-Nsc05-430,human,,MAstV1,5,1,10,7
KF039911/NA/Rus-Nsc06-1029/NA/NA/MAstV1,,Rus-Nsc06-1029,human,,MAstV1,5,1,10,7
KF039912/NA/Rus-Nsc05-623/NA/NA/MAstV1,,Rus-Nsc05-623,human,,MAstV1,5,1,10,7
KF039913/NA/Rus-Nsc10-N358/NA/NA/MAstV1,,Rus-Nsc10-N358,human,,MAstV1,5,1,10,7
KJ656124/NA/VA5-human-Gambia-102139-2009/human/NA/NA,,VA5-human-Gambia-102139-2009,human,,,55,27,5,38
KP862744/NA/kor85/human/NA/MAstV1,,kor85,human,,MAstV1,50,1,10,7
KY933670/NA/C-P5/human/NA/MAstV9,,C-P5,human,,MAstV9,26,13,19,23
LC064152/NA/NA/human/NA/MAstV6,,,human,,MAstV6,14,18,25,19
LC694985/NA/HAstV3-190610-Tokyo-2019/human/NA/MAstV1,,HAstV3-190610-Tokyo-2019,human,,MAstV1,5,1,10,7
LC694986/NA/HAstV1-211185-Tokyo-2022/human/NA/MAstV1,,HAstV1-211185-Tokyo-2022,human,,MAstV1,5,1,10,7
LC694987/NA/HAstV1-210984-Tokyo-2021/human/NA/MAstV1,,HAstV1-210984-Tokyo-2021,human,,MAstV1,5,1,10,7
LC694988/NA/HAstV1-210963-Tokyo-2021/human/NA/MAstV1,,HAstV1-210963-Tokyo-2021,human,,MAstV1,5,1,10,7
LC694989/NA/HAstV1-210956-Tokyo-2021/human/NA/MAstV1,,HAstV1-210956-Tokyo-2021,human,,MAstV1,50,1,10,7
LC694990/NA/HAstV1-181937-Tokyo-2018/human/NA/MAstV1,,HAstV1-181937-Tokyo-2018,human,,MAstV1,50,1,10,7
LC694991/NA/HAstV1-210764-Tokyo-2021/human/NA/MAstV1,,HAstV1-210764-Tokyo-2021,human,,MAstV1,5,1,10,7
LC694992/NA/HAstV1-210628-Tokyo-2021/human/NA/MAstV1,,HAstV1-210628-Tokyo-2021,human,,MAstV1,50,1,10,7
LC694993/NA/HAstV1-193061-Tokyo-2020/human/NA/MAstV1,,HAstV1-193061-Tokyo-2020,human,,MAstV1,5,1,10,7
LC694994/NA/HAstV1-193055-Tokyo-2020/human/NA/MAstV1,,HAstV1-193055-Tokyo-2020,human,,MAstV1,5,1,10,7
LC694995/NA/HAstV1-192642-Tokyo-2020/human/NA/MAstV1,,HAstV1-192642-Tokyo-2020,human,,MAstV1,5,1,10,7
LC694996/NA/HAstV1-181290-Tokyo-2018/human/NA/MAstV1,,HAstV1-181290-Tokyo-2018,human,,MAstV1,5,1,10,7
LC694997/NA/HAstV1-181289-Tokyo-2018/human/NA/MAstV1,,HAstV1-181289-Tokyo-2018,human,,MAstV1,5,1,10,7
LC694998/NA/MLB1-210966-Tokyo-2021/human/NA/MAstV6,,MLB1-210966-Tokyo-2021,human,,MAstV6,14,18,25,19
LC694999/NA/MLB1-210750-Tokyo-2021/human/NA/MAstV6,,MLB1-210750-Tokyo-2021,human,,MAstV6,14,18,25,19
LC695000/NA/MLB1-210749-Tokyo-2021/human/NA/MAstV6,,MLB1-210749-Tokyo-2021,human,,MAstV6,14,18,25,19
LC732122/NA/Child-with-acute-gastroenteritis/human/NA/MAstV1,,Child-with-acute-gastroenteritis,human,,MAstV1,50,1,10,7
LC732123/NA/Child-with-acute-gastroenteritis/human/NA/MAstV1,,Child-with-acute-gastroenteritis,human,,MAstV1,50,1,10,7
LC732124/NA/Child-with-acute-gastroenteritis/human/NA/MAstV1,,Child-with-acute-gastroenteritis,human,,MAstV1,50,1,10,7
LC732125/NA/Child-with-acute-gastroenteritis/human/NA/NA,,Child-with-acute-gastroenteritis,human,,,37,35,11,2
MF684776/NA/2013-Fuzhou-85/human/NA/MAstV1,,2013-Fuzhou-85,human,,MAstV1,50,1,10,7
MG932612/NA/HAstV-4-RUS-Novosibirsk-NS17-A878-2017/human/NA/MAstV1,,HAstV-4-RUS-Novosibirsk-NS17-A878-2017,human,,MAstV1,5,1,10,7
MH446377/NA/HAstV-1-RUS-Novosibirsk-NS18-A1443-2018/human/NA/MAstV1,,HAstV-1-RUS-Novosibirsk-NS18-A1443-2018,human,,MAstV1,5,1,10,7
MK296753/NA/17W1028/human/NA/MAstV1,,17W1028,human,,MAstV1,5,1,10,7
MK618656/NA/CA-RGDS-1016/human/NA/MAstV1,,CA-RGDS-1016,human,,MAstV1,50,1,10,7
MN433703/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
MN433704/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
MN433705/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
MN433706/NA/NA/human/NA/MAstV1,,,human,,MAstV1,50,1,10,7
MN444721/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
MT267476/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
MT267480/NA/NA/human/NA/MAstV1,,,human,,MAstV1,50,1,10,7
MT267482/NA/NA/human/NA/MAstV1,,,human,,MAstV1,50,1,10,7
MT267484/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
MT432184/NA/ITA-2018-205-18-5/human/NA/MAstV9,,ITA-2018-205-18-5,human,,MAstV9,26,13,19,23
MT832892/NA/TO-98/human/NA/MAstV1,,TO-98,human,,MAstV1,50,1,10,7
MT832893/NA/TO-160/human/NA/MAstV1,,TO-160,human,,MAstV1,50,1,10,7
MT832894/NA/TO-162/human/NA/MAstV1,,TO-162,human,,MAstV1,50,1,10,7
MT832895/NA/TO-171/human/NA/MAstV1,,TO-171,human,,MAstV1,50,1,10,7
MT832896/NA/TO-208/human/NA/MAstV1,,TO-208,human,,MAstV1,50,1,10,7
MT832897/NA/TO-161/human/NA/MAstV1,,TO-161,human,,MAstV1,50,1,10,7
MT906853/NA/BRA-TO-207/human/NA/MAstV1,,BRA-TO-207,human,,MAstV1,5,1,10,7
MT906854/NA/BRA-TO-71/human/NA/MAstV1,,BRA-TO-71,human,,MAstV1,50,1,10,7
MT906855/NA/BRA-TO-26/human/NA/MAstV1,,BRA-TO-26,human,,MAstV1,50,1,10,7
MT906856/NA/BRA-TO-65/human/NA/MAstV1,,BRA-TO-65,human,,MAstV1,5,1,10,7
MT906857/NA/BRA-TO-40/human/NA/MAstV1,,BRA-TO-40,human,,MAstV1,5,1,10,7
MT906858/NA/BRA-TO-57/human/NA/MAstV1,,BRA-TO-57,human,,MAstV1,5,1,10,7
MT906859/NA/BRA-TO-32/human/NA/MAstV1,,BRA-TO-32,human,,MAstV1,5,1,10,7
MW485040/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
MW485042/NA/NA/human/NA/MAstV1,,,human,,MAstV1,5,1,10,7
MW485043/NA/NA/human/NA/MAstV1,,,human,,MAstV1,50,1,10,7
MZ707081/NA/WYL077032/human/NA/MAstV6,,WYL077032,human,,MAstV6,14,18,25,19
ON571594/NA/2019-Fuzhou-26/human/NA/MAstV1,,2019-Fuzhou-26,human,,MAstV1,50,1,10,7
ON571595/NA/2019-Fuzhou-289/human/NA/MAstV1,,2019-Fuzhou-289,human,,MAstV1,5,1,10,7
ON571596/NA/2019-Fuzhou-306/human/NA/MAstV1,,2019-Fuzhou-306,human,,MAstV1,50,1,10,7
ON571597/NA/2019-Pingtan-42/human/NA/MAstV1,,2019-Pingtan-42,human,,MAstV1,50,1,10,7
ON571598/NA/2021-Fuzhou-37/human/NA/MAstV1,,2021-Fuzhou-37,human,,MAstV1,5,1,10,7
OP432293/NA/HAstV-4-RC-21027/human/NA/MAstV1,,HAstV-4-RC-21027,human,,MAstV1,50,1,10,7
OP432294/NA/HAstV-4-QD-L-22040/human/NA/MAstV1,,HAstV-4-QD-L-22040,human,,MAstV1,5,1,10,7
OP432295/NA/HAstV-4-QD-F-22056/human/NA/MAstV1,,HAstV-4-QD-F-22056,human,,MAstV1,50,1,10,7
